Brand_Name,Car_Name,Car_Type,Base_model_price
BMW,THE FIRST FULLYELECTRIC BMW iX1,Full-Electric,6690000.0
BMW,THE NEW ALLELECTRIC BMW iX xDRIVE50,Full-Electric,13950000.0
BMW,THE FULLY ELECTRIC BMW i4,Full-Electric,7250000.0
BMW,THE FULLY ELECTRIC BMW i7,Full-Electric,20300000.0
BMW,THE FIRSTEVER BMW i7 M70 xDRIVE,Full-Electric,25000000.0
BMW,THE FIRSTEVER BMW i5 M60 xDRIVE,Full-Electric,11950000.0
BMW,THE BMW X1,Petrol,4950000.0
BMW,THE BMW X3,Diesel,7250000.0
BMW,THE NEW BMW X5,Petrol,9700000.0
BMW,THE BMW X7,Petrol,13000000.0
BMW,THE ALLNEW BMW M2 COUP,Petrol,9990000.0
BMW,THE BMW M340i,Petrol,7290000.0
BMW,THE NEW BMW Z4 M40i,Petrol,9090000.0
BMW,THE BMW M8 COMPETITION COUP,Petrol,24400000.0
BMW,THE FIRSTEVER BMW i7 M70 xDRIVE,Full-Electric,25000000.0
BMW,THE BMW XM,Plug-in Hybrid,26000000.0
BMW,THE FIRSTEVER BMW i5 M60 xDRIVE,Full-Electric,11950000.0
BMW,THE NEW BMW M4 COMPETITION COUP WITH M xDRIVE,Petrol,15300000.0
BMW,THE BMW 7 SERIES SEDAN,Petrol,18150000.0
BMW,THE BMW 7 SERIES PROTECTION,N/A,
BMW,THE BMW 5 SERIES LONG WHEELBASE,Petrol,7290000.0
BMW,THE BMW M340i,Petrol,7290000.0
BMW,THE BMW 3 SERIES GRAN LIMOUSINE,Petrol,6060000.0
BMW,THE BMW 2 SERIES GRAN COUP,Petrol,4390000.0
BMW,THE NEW BMW Z4 M40i,Petrol,9090000.0
Mercedes,EQB SUV,Not mentioned,4443998.5
Mercedes,EQE Sedan,Not mentioned,6274373.0
Mercedes,EQE SUV,Not mentioned,6525683.0
Mercedes,EQS Sedan,Not mentioned,8745588.0
Mercedes,EQS SUV,Not mentioned,8745588.0
Mercedes,EQS SUV Maybach,Not mentioned,15070223.0
Mercedes,GLA SUV,Not mentioned,3602110.0
Mercedes,GLB SUV,Not mentioned,3836666.0
Mercedes,GLC SUV,Not mentioned,3974886.5
Mercedes,GLC Coupe,Not mentioned,4774890.0
Mercedes,EQB SUV,Not mentioned,4443998.5
Mercedes,GLE SUV,Not mentioned,5181174.5
Mercedes,EQE SUV,Not mentioned,6525683.0
Mercedes,GLE Coupe,Not mentioned,
Mercedes,GLS SUV,Not mentioned,7472284.0
Mercedes,EQS SUV,Not mentioned,8745588.0
Mercedes,GClass SUV,Not mentioned,12418902.5
Mercedes,MercedesMaybach GLS SUV,Not mentioned,14605299.5
Mercedes,EQS SUV Maybach,Not mentioned,15070223.0
Mercedes,CClass Sedan,Not mentioned,3933001.5
Mercedes,EClass Sedan,Not mentioned,5218871.0
Mercedes,EQE Sedan,Not mentioned,6274373.0
Mercedes,EQS Sedan,Not mentioned,8745588.0
Mercedes,SClass Sedan,Not mentioned,9826221.0
Mercedes,MercedesMaybach SClass,Not mentioned,16611591.0
Mercedes,EClass All Terrain,Not mentioned,6257619.0
Mercedes,CLA Coupe,Not mentioned,3719388.0
Mercedes,CLE Coupe,Not mentioned,4733005.0
Mercedes,MercedesAMG GT 4door Coupe,Not mentioned,8251345.0
Mercedes,MercedesAMG GT,Not mentioned,11300573.0
Mercedes,CLE Cabriolet,Not mentioned,5390599.5
Mercedes,SL Roadster,Not mentioned,9365486.0
